,neighborhood,normalized_crime
0,Abell,0.49606299212598426
1,Allendale,0.6820483961733258
2,Arcadia,0.20242914979757085
3,Boyd-Booth,0.6009732360097324
4,Arlington,1.621632024634334
5,Armistead Gardens,0.36957779063042223
6,Ashburton,0.6436507936507937
7,Baltimore Highlands,0.658157602663707
8,Patterson Park Neighborhood,0.384192439862543
9,Barclay,1.3544245758826226
10,Barre Circle,0.18
11,Beechfield,0.2829018338727077
12,Belair-Parkside,0.3536036036036036
13,Bellona-Gittings,0.05843071786310518
14,Berea,0.5611901681759379
15,Better Waverly,0.6297842727905358
16,Brewers Hill,0.4685638649900728
17,Beverly Hills,0.19880418535127056
18,Biddle Street,0.5233201581027668
19,Blythewood,0.06944444444444445
20,Bolton Hill,0.14997989545637314
21,Bridgeview/Greenlawn,2.0243037974683546
22,Broadway East,0.8545933887649564
23,Broening Manor,0.4443800695249131
24,Burleith-Leighton,0.7964721845318861
25,Brooklyn,0.5486194477791116
26,Butcher's Hill,0.18634197988353626
27,Callaway-Garrison,0.7208008898776418
28,Cameron Village,0.22717770034843204
29,Canton,0.3209481627296588
30,Dolfield,0.35435992578849723
31,Carroll-South Hilton,0.40948905109489053
32,Carrollton Ridge,1.2263374485596708
33,Cedarcroft,0.3760330578512397
34,Dorchester,0.4747058823529412
35,Cedmont,0.5797995373939862
36,Cedonia,0.2674909529553679
37,Central Forest Park,0.5671641791044776
38,Coldspring,0.27793974732750243
39,Central Park Heights,0.7203783604381016
40,Charles North,1.4192634560906516
41,Forest Park Golf Course,0.2193877551020408
42,Frankford,0.532892505934215
43,Cherry Hill,0.5654356400143421
44,Fallstaff,0.24034131310737142
45,Cheswolde,0.09944979367262724
46,Chinquapin Park,0.1703590527119939
47,Dickeyville,0.3076923076923077
48,Orchard Ridge,1.2106227106227105
49,Coldstream Homestead Montebello,0.47894302229562347
50,Concerned Citizens Of Forest Park,0.2844752818733738
51,Coppin Heights/Ash-Co-East,0.7785714285714286
52,Little Italy,1.2083333333333333
53,Cross Country,0.07000193911188675
54,Cross Keys,0.3142523364485981
55,Cylburn,0.2838353839626644
56,Curtis Bay,0.7986709328082697
57,Darley Park,1.367816091954023
58,Loch Raven,0.1893558331981178
59,Downtown,3.5775629496402876
60,Druid Heights,0.6973947895791583
61,Federal Hill,0.5203846153846153
62,Fells Point,0.7085010060362174
63,Dunbar-Broadway,3.529808773903262
64,East Arlington,0.24794407894736842
65,East Baltimore Midway,0.7214897824653922
66,Easterwood,0.5338345864661654
67,Eastwood,0.24610051993067592
68,Edmondson Village,0.2593908629441624
69,Ednor Gardens-Lakeside,0.20154291224686596
70,Ellwood Park/Monument,0.6905027932960894
71,Forest Park,0.5647435897435897
72,Evergreen,0.16753926701570682
73,Evergreen Lawn,0.2968197879858657
74,Fairfield Area,20.11320754716981
75,Fairmont,2.121037463976945
76,Franklin Square,0.4239973036737445
77,Franklintown,0.27301092043681746
78,Franklintown Road,1.5396907216494846
79,Garwyn Oaks,0.4911660777385159
80,Gay Street,0.9404404404404404
81,Glen,0.3179278821736922
82,Greektown,0.2528548123980424
83,Glen Oaks,0.22237616903359889
84,Glenham-Belhar,0.34380566801619433
85,Graceland Park,0.5191447041272998
86,Greenmount West,0.7662434652725915
87,Greenspring,0.210128055878929
88,Grove Park,0.30403309203722856
89,Harwood,0.4380952380952381
90,Guilford,0.18337850045167117
91,Gwynns Falls,0.9113175675675675
92,Hampden,0.29843458279477236
93,Hanlon-Longwood,0.6222414539160537
94,Hamilton Hills,0.27635356849876946
95,Harlem Park,0.6962233169129721
96,Heritage Crossing,0.3498542274052478
97,Highlandtown,0.41822955738934736
98,Jonestown,1.0007315288953913
99,Hillen,0.2188566552901024
100,Hoes Heights,0.1630057803468208
101,Hollins Market,1.0680087051142546
102,Levindale,1.5041050903119868
103,Homeland,0.34926585442049357
104,Hopkins Bayview,2.0097087378640777
105,Howard Park,0.5732838589981447
106,Hunting Ridge,0.2492283950617284
107,Idlewood,0.2040358744394619
108,Inner Harbor,1.5774932614555257
109,Irvington,0.7043436525077994
110,Johns Hopkins Homewood,16.61111111111111
111,Johnston Square,1.0493179433368311
112,Bayview,0.4096332302253646
113,Kenilworth Park,1.357379767827529
114,Kernewood,0.3691460055096419
115,Liberty Square,0.9311688311688312
116,Keswick,0.13076923076923078
117,Kresson,0.7681818181818182
118,Lake Evesham,0.1860036832412523
119,Lake Walker,0.16467780429594273
120,Lakeland,0.3629971434849484
121,Langston Hughes,0.30405405405405406
122,Lauraville,0.4170079498915924
123,Locust Point,0.11599625818521983
124,Locust Point Industrial Area,0.38317757009345793
125,Lucille Park,0.5149911816578483
126,McElderry Park,0.5990577733697
127,Loyola/Notre Dame,0.19201995012468828
128,Madison Park,1.231958762886598
129,Madison-Eastend,1.6127864897466828
130,Mayfield,0.2229965156794425
131,Sharp-Leadenhall,0.4683698296836983
132,Medfield,0.18085880640465793
133,Medford,1.0332861189801699
134,Mid-Govans,0.3174061433447099
135,Mid-Town Belvedere,0.47389033942558745
136,Middle East,0.5505390835579514
137,Midtown-Edmondson,0.9176187612748046
138,Millhill,1.221040850587577
139,Milton-Montford,0.8979151689432063
140,Moravia-Walther,0.23623623623623624
141,Mondawmin,0.6210136674259681
142,Montebello,0.3504273504273504
143,New Southwest/Mount Clare,0.856463467358409
144,Morgan Park,0.26953125
145,Morgan State University,0.758659217877095
146,Morrell Park,0.6555661274976213
147,Mosher,0.39269981120201386
148,Mount Holly,0.9093041438623924
149,Mount Vernon,0.7536322125363222
150,Northwest Community Action,0.5427215189873418
151,Saint Josephs,0.23031496062992127
152,Mount Washington,0.1887570912841671
153,Mount Winans,0.29545454545454547
154,Pleasant View Gardens,0.41374474053295934
155,Saint Paul,1.074766355140187
156,New Northwood,0.2232502011263073
157,North Harford Road,0.26914498141263943
158,North Roland Park/Poplar Hill,0.09517241379310344
159,O'Donnell Heights,0.7785058977719528
160,Oakenshawe,0.08566433566433566
161,Oaklee,0.3063660477453581
162,Oldtown,0.4473288186606471
163,Oliver,0.6043823741873344
164,Orangeville,7.534653465346534
165,Original Northwood,0.12087026591458501
166,Otterbein,0.4360943499725727
167,Overlea,0.2739018087855297
168,Panway/Braddish Avenue,0.26535626535626533
169,Park Circle,1.1148112908341263
170,Parklane,0.21473889702293802
171,Parkside,0.2474841595229221
172,Parkview/Woodbrook,0.5461887935386168
173,Patterson Place,0.33047210300429186
174,Pen Lucy,0.6445743989603638
175,Ridgely's Delight,0.43552036199095023
176,Penn North,1.6522210184182016
177,Penn-Fallsway,0.20862525299704188
178,Penrose/Fayette Street Outreach,0.8710961420698101
179,Perkins Homes,0.33535476046088536
180,Perring Loch,0.17916390179163902
181,Pimlico Good Neighbors,0.5607985480943739
182,Poppleton,0.45185185185185184
183,Pulaski Industrial Area,26.715447154471544
184,Purnell,0.15783274440518258
185,Radnor-Winston,0.4605263157894737
186,Ramblewood,0.6879765395894428
187,Saint Helena,0.17940199335548174
188,Reisterstown Station,1.6260162601626016
189,Remington,0.5093572009764036
190,Reservoir Hill,0.5646579804560261
191,Richnor Springs,0.3609467455621302
192,Riverside,0.2436959971786281
193,Rognel Heights,0.8117994100294985
194,Roland Park,0.10286581894097552
195,Rosebank,0.8045685279187818
196,Rosemont,0.3952288845905867
197,Rosemont East,0.30625334045964725
198,Rosemont Homeowners/Tenants,0.6554794520547945
199,Sabina-Mattfeldt,0.6046511627906976
200,Saint Agnes,0.5171385991058122
201,Sandtown-Winchester,0.5147644715256621
202,South Baltimore,0.2234782608695652
203,Seton Hill,1.1016813450760607
204,Shipley Hill,0.44407582938388623
205,South Clifton Park,0.519674355495251
206,Stonewood-Pentwood-Winston,0.299644128113879
207,Taylor Heights,0.052054794520547946
208,Ten Hills,0.22951977401129944
209,Towanda-Grantley,0.2783661119515885
210,Tremont,0.18893528183716074
211,Woodbourne-McCabe,0.5044052863436124
212,The Orchards,0.14777327935222673
213,Union Square,0.5720303285593934
214,Tuscany-Canterbury,0.053911514796366834
215,University Of Maryland,1.4780361757105944
216,Uplands,1.4390243902439024
217,Upper Fells Point,0.2526616463256297
218,Downtown West,4.377049180327869
219,Upton,0.884963452836756
220,Villages Of Homeland,0.02489661237130452
221,Violetville,0.7857142857142857
222,Wakefield,0.481941309255079
223,Walbrook,0.4158821121571838
224,Winchester,0.7492957746478873
225,Waltherson,0.23925501432664756
226,Washington Hill,0.41899441340782123
227,Washington Village/Pigtown,0.7568412822517592
228,Waverly,0.5198996055934026
229,West Arlington,0.3052425281724645
230,West Forest Park,0.3164451827242525
231,West Hills,0.35942566002779064
232,Woodbourne Heights,0.2233983286908078
233,Westfield,0.3482967207895575
234,Westgate,0.18710398807305256
235,Westport,0.5718769617074702
236,Wilson Park,0.4111840804706223
237,Windsor Hills,0.36597938144329895
238,Winston-Govans,0.3340790454884415
239,Woodberry,0.41536273115220484
240,Woodmere,0.8365384615384616
241,Wyman Park,0.11481156879929887
242,Wyndhurst,0.32193732193732194
243,Yale Heights,0.2884
244,Lower Edmondson Village,0.4013452914798206
245,Wilhelm Park,2.301498127340824
246,Edgewood,0.45060441850771155
247,Evesham Park,0.31875881523272215
248,Belvedere,0.41388888888888886
249,Wrenlane,0.18292300786505308
250,York-Homeland,2.9709462588141697
251,CARE,0.9713292788879235
252,Belair-Edison,0.42300778909526665
253,Four By Four,0.48136399682791436
254,Charles Village,0.33247249045587246
255,Old Goucher,0.872848948374761
